timestamp;modelo;turno;resultado_final;cs_code;cs_detail;p_esq;p_dir;th_presente;camera_index;directshow;source;total;ok;ng;yield_pct;test_time_sec;start_time;end_time
2026-02-18 10:30:56;UNICORN_WHITE_15W;1;NG;NG_ESQ;p_esq<0.71;0.0929;0.8912;0.71;1;True;camera;1;0;1;0.0;1.510;2026-02-18 10:30:54;2026-02-18 10:30:56
2026-02-18 10:31:23;UNICORN_WHITE_15W;1;OK;OK;OK;0.9676;0.9264;0.71;1;True;camera;2;1;1;50.0;0.905;2026-02-18 10:31:22;2026-02-18 10:31:23
2026-02-18 10:40:48;UNICORN_WHITE_15W;1;NG;NG_ESQ;p_esq<0.71;0.0633;0.8727;0.71;1;True;camera;3;1;2;33.33;1.201;2026-02-18 10:40:46;2026-02-18 10:40:48
2026-02-18 10:41:05;UNICORN_WHITE_15W;1;NG;NG_AMBAS;p_esq<0.71 | p_dir<0.71;0.1102;0.0266;0.71;1;True;camera;4;1;3;25.0;1.512;2026-02-18 10:41:03;2026-02-18 10:41:05
2026-02-18 10:41:17;UNICORN_WHITE_15W;1;NG;NG_ESQ;p_esq<0.71;0.2558;0.9372;0.71;1;True;camera;5;1;4;20.0;0.997;2026-02-18 10:41:16;2026-02-18 10:41:17
2026-02-18 10:41:26;UNICORN_WHITE_15W;1;NG;NG_DIR;p_dir<0.71;0.9931;0.1689;0.71;1;True;camera;6;1;5;16.67;1.092;2026-02-18 10:41:25;2026-02-18 10:41:26
2026-02-18 10:41:34;UNICORN_WHITE_15W;1;OK;OK;OK;0.8872;0.9522;0.71;1;True;camera;7;2;5;28.57;1.519;2026-02-18 10:41:33;2026-02-18 10:41:34
2026-02-18 10:41:37;UNICORN_WHITE_15W;1;OK;OK;OK;0.9154;0.9428;0.71;1;True;camera;8;3;5;37.5;1.075;2026-02-18 10:41:36;2026-02-18 10:41:37
2026-02-18 10:41:40;UNICORN_WHITE_15W;1;OK;OK;OK;0.8319;0.9296;0.71;1;True;camera;9;4;5;44.44;1.090;2026-02-18 10:41:39;2026-02-18 10:41:40
2026-02-18 10:41:43;UNICORN_WHITE_15W;1;OK;OK;OK;0.9174;0.9385;0.71;1;True;camera;10;5;5;50.0;1.020;2026-02-18 10:41:42;2026-02-18 10:41:43
2026-02-18 10:41:46;UNICORN_WHITE_15W;1;OK;OK;OK;0.8974;0.9475;0.71;1;True;camera;11;6;5;54.55;1.040;2026-02-18 10:41:45;2026-02-18 10:41:46
2026-02-18 10:41:49;UNICORN_WHITE_15W;1;OK;OK;OK;0.9127;0.9333;0.71;1;True;camera;12;7;5;58.33;1.036;2026-02-18 10:41:48;2026-02-18 10:41:49
2026-02-18 10:41:52;UNICORN_WHITE_15W;1;OK;OK;OK;0.8873;0.9193;0.71;1;True;camera;13;8;5;61.54;1.543;2026-02-18 10:41:50;2026-02-18 10:41:52
2026-02-18 10:41:55;UNICORN_WHITE_15W;1;OK;OK;OK;0.842;0.9384;0.71;1;True;camera;14;9;5;64.29;1.026;2026-02-18 10:41:54;2026-02-18 10:41:55
2026-02-18 10:41:58;UNICORN_WHITE_15W;1;OK;OK;OK;0.8669;0.9648;0.71;1;True;camera;15;10;5;66.67;1.087;2026-02-18 10:41:57;2026-02-18 10:41:58
2026-02-18 10:42:02;UNICORN_WHITE_15W;1;OK;OK;OK;0.8971;0.9461;0.71;1;True;camera;16;11;5;68.75;1.513;2026-02-18 10:42:01;2026-02-18 10:42:02
2026-02-18 10:42:07;UNICORN_WHITE_15W;1;OK;OK;OK;0.8451;0.9297;0.71;1;True;camera;17;12;5;70.59;1.014;2026-02-18 10:42:06;2026-02-18 10:42:07
2026-02-18 10:42:10;UNICORN_WHITE_15W;1;OK;OK;OK;0.8827;0.9511;0.71;1;True;camera;18;13;5;72.22;1.034;2026-02-18 10:42:09;2026-02-18 10:42:10
2026-02-18 10:42:13;UNICORN_WHITE_15W;1;OK;OK;OK;0.8565;0.9638;0.71;1;True;camera;19;14;5;73.68;0.967;2026-02-18 10:42:12;2026-02-18 10:42:13
2026-02-18 10:42:16;UNICORN_WHITE_15W;1;OK;OK;OK;0.9014;0.913;0.71;1;True;camera;20;15;5;75.0;0.976;2026-02-18 10:42:15;2026-02-18 10:42:16
2026-02-18 10:42:19;UNICORN_WHITE_15W;1;OK;OK;OK;0.8663;0.9443;0.71;1;True;camera;21;16;5;76.19;0.983;2026-02-18 10:42:18;2026-02-18 10:42:19
2026-02-18 10:42:23;UNICORN_WHITE_15W;1;OK;OK;OK;0.896;0.9348;0.71;1;True;camera;22;17;5;77.27;0.981;2026-02-18 10:42:22;2026-02-18 10:42:23
2026-02-18 16:05:04;UNICORN_WHITE_15W;1;OK;OK;OK;0.9186;0.9677;0.71;1;True;camera;23;18;5;78.26;1.216;2026-02-18 16:05:02;2026-02-18 16:05:04
2026-02-18 16:05:54;UNICORN_WHITE_15W;1;OK;OK;OK;0.9266;0.9496;0.71;1;True;camera;24;19;5;79.17;1.519;2026-02-18 16:05:52;2026-02-18 16:05:54
2026-02-18 16:06:08;UNICORN_WHITE_15W;1;NG;NG_AMBAS;p_esq<0.71 | p_dir<0.71;0.1817;0.0289;0.71;1;True;camera;25;19;6;76.0;0.949;2026-02-18 16:06:07;2026-02-18 16:06:08
2026-02-18 16:06:22;UNICORN_WHITE_15W;1;NG;NG_DIR;p_dir<0.71;0.9744;0.0577;0.71;1;True;camera;26;19;7;73.08;0.897;2026-02-18 16:06:22;2026-02-18 16:06:22
2026-02-18 16:06:38;UNICORN_WHITE_15W;1;NG;NG_ESQ;p_esq<0.71;0.0833;0.8915;0.71;1;True;camera;27;19;8;70.37;0.895;2026-02-18 16:06:38;2026-02-18 16:06:38
