timestamp;modelo;turno;resultado_final;defect_esq;defect_dir;cs_code;cs_detail;p_esq;p_dir;th_presente;camera_index;directshow;source;total;ok;ng;yield_pct;test_time_sec;start_time;end_time
2026-03-05 15:16:20;UNICORN_WHITE_15W;1;NG_MISALIGNED;OK;NG_MISALIGNED;NG_MISALIGNED;ESQ=OK | DIR=NG_MISALIGNED | th_pres=0.60;0.9976;0.8911;0.6000000000000001;1;True;button;1;0;1;0.0;5.106;2026-03-05 15:16:15;2026-03-05 15:16:20
2026-03-05 15:16:39;UNICORN_WHITE_15W;1;NG_MISSING;NG_MISSING;OK;NG_MISSING;ESQ=NG_MISSING | DIR=OK | th_pres=0.60;0.1079;0.8388;0.6000000000000001;1;True;button;2;0;2;0.0;1.669;2026-03-05 15:16:37;2026-03-05 15:16:39
2026-03-05 15:16:52;UNICORN_WHITE_15W;1;NG_MISALIGNED;NG_MISALIGNED;OK;NG_MISALIGNED;ESQ=NG_MISALIGNED | DIR=OK | th_pres=0.60;0.997;0.7418;0.6000000000000001;1;True;button;3;0;3;0.0;1.984;2026-03-05 15:16:50;2026-03-05 15:16:52
2026-03-05 15:17:03;UNICORN_WHITE_15W;1;NG_MISSING;NG_MISALIGNED;NG_MISSING;NG_MISSING;ESQ=NG_MISALIGNED | DIR=NG_MISSING | th_pres=0.60;0.9936;0.5842;0.6000000000000001;1;True;button;4;0;4;0.0;1.838;2026-03-05 15:17:01;2026-03-05 15:17:03
2026-03-05 15:17:16;UNICORN_WHITE_15W;1;NG_MISSING;OK;NG_MISSING;NG_MISSING;ESQ=OK | DIR=NG_MISSING | th_pres=0.60;0.987;0.0738;0.6000000000000001;1;True;button;5;0;5;0.0;1.761;2026-03-05 15:17:14;2026-03-05 15:17:16
2026-03-05 15:17:25;UNICORN_WHITE_15W;1;OK;OK;OK;OK;ESQ=OK | DIR=OK | th_pres=0.60;0.9941;0.9576;0.6000000000000001;1;True;button;6;1;5;16.67;1.859;2026-03-05 15:17:23;2026-03-05 15:17:25
2026-03-05 15:19:34;UNICORN_WHITE_15W;1;OK;OK;OK;OK;ESQ=OK | DIR=OK | th_pres=0.60;0.9951;0.9703;0.6000000000000001;0;True;sensor;7;2;5;28.57;1.797;2026-03-05 15:19:32;2026-03-05 15:19:34
2026-03-05 16:21:37;UNICORN_WHITE_15W;1;NG_MISALIGNED;OK;NG_MISALIGNED;NG_MISALIGNED;ESQ=OK | DIR=NG_MISALIGNED | th_pres=0.60;0.9936;0.9793;0.6000000000000001;1;True;button;1;0;1;0.0;6.460;2026-03-05 16:21:30;2026-03-05 16:21:37
2026-03-05 19:28:20;UNICORN_WHITE_15W;1;NG_MISALIGNED;NG_MISALIGNED;OK;NG_MISALIGNED;ESQ=NG_MISALIGNED | DIR=OK | th_pres=0.60;0.9954;0.7682;0.6000000000000001;1;True;button;1;0;1;0.0;3.643;2026-03-05 19:28:16;2026-03-05 19:28:20
2026-03-05 19:41:16;UNICORN_WHITE_15W;1;NG_MISALIGNED;NG_MISALIGNED;OK;NG_MISALIGNED;ESQ=NG_MISALIGNED | DIR=OK | th_pres=0.60;0.994;0.9238;0.6000000000000001;1;True;sensor;7;0;7;0.0;1.605;2026-03-05 19:41:14;2026-03-05 19:41:16
2026-03-05 19:47:34;UNICORN_WHITE_15W;1;NG_MISSING;NG_MISSING;NG_MISSING;NG_MISSING;ESQ=NG_MISSING | DIR=NG_MISSING | th_pres=0.60;0.0472;0.0742;0.6000000000000001;1;True;sensor;8;0;8;0.0;1.061;2026-03-05 19:47:33;2026-03-05 19:47:34
2026-03-05 20:03:44;UNICORN_WHITE_15W;1;OK;OK;OK;OK;ESQ=OK | DIR=OK | th_pres=0.60;0.9778;0.9767;0.6000000000000001;1;True;sensor;1;1;0;100.0;1.954;2026-03-05 20:03:42;2026-03-05 20:03:44
2026-03-05 20:03:49;UNICORN_WHITE_15W;1;NG_MISALIGNED;OK;NG_MISALIGNED;NG_MISALIGNED;ESQ=OK | DIR=NG_MISALIGNED | th_pres=0.60;0.9971;0.9444;0.6000000000000001;1;True;sensor;2;1;1;50.0;1.858;2026-03-05 20:03:47;2026-03-05 20:03:49
2026-03-05 20:04:05;UNICORN_WHITE_15W;1;NG_MISSING;NG_MISSING;NG_MISSING;NG_MISSING;ESQ=NG_MISSING | DIR=NG_MISSING | th_pres=0.60;0.4434;0.2182;0.6000000000000001;1;True;sensor;4;1;3;25.0;1.046;2026-03-05 20:04:04;2026-03-05 20:04:05
2026-03-05 20:04:21;UNICORN_WHITE_15W;1;NG_MISALIGNED;OK;NG_MISALIGNED;NG_MISALIGNED;ESQ=OK | DIR=NG_MISALIGNED | th_pres=0.60;0.9966;0.9321;0.6000000000000001;1;True;sensor;5;1;4;20.0;2.017;2026-03-05 20:04:19;2026-03-05 20:04:21
2026-03-05 20:04:32;UNICORN_WHITE_15W;1;NG_MISSING;OK;NG_MISSING;NG_MISSING;ESQ=OK | DIR=NG_MISSING | th_pres=0.60;0.9969;0.5042;0.6000000000000001;1;True;sensor;6;1;5;16.67;1.504;2026-03-05 20:04:31;2026-03-05 20:04:32
2026-03-05 20:04:36;UNICORN_WHITE_15W;1;NG_MISSING;OK;NG_MISSING;NG_MISSING;ESQ=OK | DIR=NG_MISSING | th_pres=0.60;0.998;0.3885;0.6000000000000001;1;True;sensor;7;1;6;14.29;1.558;2026-03-05 20:04:34;2026-03-05 20:04:36
