timestamp;modelo;turno;resultado_final;cs_code;cs_detail;p_esq;p_dir;th_presente;camera_index;directshow;source;total;ok;ng;yield_pct;test_time_sec;start_time;end_time
2026-02-21 18:45:40;UNICORN_WHITE_15W;1;OK;OK;OK;0.9383;0.9328;0.71;1;True;sensor;1;1;0;100.0;2.300;2026-02-21 18:45:38;2026-02-21 18:45:40
2026-02-21 18:55:48;UNICORN_WHITE_15W;1;NG;NG_ESQ;p_esq<0.71;0.095;0.8713;0.71;1;True;sensor;1;0;1;0.0;1.820;2026-02-21 18:55:46;2026-02-21 18:55:48
2026-02-21 18:56:13;UNICORN_WHITE_15W;1;OK;OK;OK;0.9486;0.8877;0.71;1;True;sensor;2;1;1;50.0;0.859;2026-02-21 18:56:13;2026-02-21 18:56:13
2026-02-21 18:56:45;UNICORN_WHITE_15W;1;NG;NG_ESQ;p_esq<0.71;0.0965;0.8679;0.71;1;True;sensor;3;1;2;33.33;0.892;2026-02-21 18:56:44;2026-02-21 18:56:45
2026-02-21 19:09:50;UNICORN_WHITE_15W;1;OK;OK;OK;0.9366;0.883;0.71;1;True;sensor;1;1;0;100.0;1.728;2026-02-21 19:09:49;2026-02-21 19:09:50
2026-02-21 19:32:31;UNICORN_WHITE_15W;1;NG;NG_ESQ;p_esq<0.71;0.0887;0.7904;0.71;1;True;sensor;1;0;1;0.0;1.682;2026-02-21 19:32:29;2026-02-21 19:32:31
2026-02-21 19:42:51;UNICORN_WHITE_15W;1;OK;OK;OK;0.93;0.9044;0.71;1;True;sensor;1;1;0;100.0;1.889;2026-02-21 19:42:49;2026-02-21 19:42:51
