timestamp;inspection_id;system_name;equipment_id;mes_enabled;traceability_enabled;production_order;serial_number;model_name;shift;operation_mode;source;result_left;result_right;final_result;confidence_left;confidence_right;image_path;xml_path;mes_status
2026-03-07 15:58:24;INSP_20260307_155825_339852;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;NG_MISALIGNED;NG_MISALIGNED;0.995148;0.837615;in_memory_cam1_20260307_155824;;LOCAL
2026-03-07 16:07:03;INSP_20260307_160703_129276;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.993961;0.851763;in_memory_cam1_20260307_160703;;LOCAL
2026-03-07 16:07:08;INSP_20260307_160708_624453;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;NG_MISALIGNED;NG_MISALIGNED;0.994629;0.859437;in_memory_cam1_20260307_160708;;LOCAL
2026-03-07 16:09:13;INSP_20260307_160913_506879;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.992981;0.839335;in_memory_cam1_20260307_160913;;LOCAL
2026-03-07 16:31:16;INSP_20260307_163116_709286;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.995698;0.904200;in_memory_cam1_20260307_163116;;LOCAL
2026-03-07 16:31:22;INSP_20260307_163122_074386;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.994694;0.903924;in_memory_cam1_20260307_163122;;LOCAL
2026-03-07 16:41:27;INSP_20260307_164127_494356;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.992514;0.877693;in_memory_cam1_20260307_164127;;LOCAL
2026-03-07 16:41:38;INSP_20260307_164138_776238;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.995609;0.868705;in_memory_cam1_20260307_164138;;LOCAL
2026-03-07 16:41:44;INSP_20260307_164144_838861;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;NG_MISALIGNED;NG_MISALIGNED;0.996131;0.880108;in_memory_cam1_20260307_164144;;LOCAL
2026-03-07 16:41:52;INSP_20260307_164152_292201;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.994884;0.893489;in_memory_cam1_20260307_164152;;LOCAL
2026-03-07 16:54:38;INSP_20260307_165438_419492;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.995578;0.827672;in_memory_cam1_20260307_165438;;LOCAL
2026-03-07 17:00:51;INSP_20260307_170051_179039;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.993880;0.869845;in_memory_cam1_20260307_170051;;LOCAL
2026-03-07 17:28:17;INSP_20260307_172817_219546;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.992760;0.837191;in_memory_cam1_20260307_172817;;LOCAL
2026-03-07 17:28:47;INSP_20260307_172847_714442;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.993352;0.842110;in_memory_cam1_20260307_172847;;LOCAL
2026-03-07 17:29:16;INSP_20260307_172916_337558;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.994732;0.840613;in_memory_cam1_20260307_172916;;LOCAL
2026-03-07 17:29:21;INSP_20260307_172921_749043;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.993556;0.777933;in_memory_cam1_20260307_172921;;LOCAL
2026-03-07 17:29:27;INSP_20260307_172927_639069;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.995309;0.832183;in_memory_cam1_20260307_172927;;LOCAL
2026-03-07 17:29:32;INSP_20260307_172932_668561;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;NG_MISALIGNED;NG_MISALIGNED;0.993259;0.858474;in_memory_cam1_20260307_172932;;LOCAL
2026-03-07 17:29:37;INSP_20260307_172937_522690;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.995031;0.907954;in_memory_cam1_20260307_172937;;LOCAL
