timestamp;modelo;turno;resultado_final;defect_esq;defect_dir;cs_code;cs_detail;p_esq;p_dir;th_presente;camera_index;directshow;source;total;ok;ng;yield_pct;test_time_sec;start_time;end_time
2026-03-01 08:47:02;UNICORN_WHITE_15W;1;NG_MISALIGNED;NG_MISALIGNED;OK;NG_MISALIGNED;ESQ=NG_MISALIGNED | DIR=OK | th_pres=0.60;0.9857;0.9472;0.6000000000000001;1;True;button;1;0;1;0.0;3.242;2026-03-01 08:46:59;2026-03-01 08:47:02
2026-03-01 08:47:24;UNICORN_WHITE_15W;1;NG_MISSING;OK;NG_MISSING;NG_MISSING;ESQ=OK | DIR=NG_MISSING | th_pres=0.60;0.9956;0.4852;0.6000000000000001;1;True;button;2;0;2;0.0;2.387;2026-03-01 08:47:21;2026-03-01 08:47:24
2026-03-01 08:47:38;UNICORN_WHITE_15W;1;NG_MISALIGNED;OK;NG_MISALIGNED;NG_MISALIGNED;ESQ=OK | DIR=NG_MISALIGNED | th_pres=0.60;0.9839;0.9788;0.6000000000000001;1;True;button;3;0;3;0.0;1.892;2026-03-01 08:47:36;2026-03-01 08:47:38
2026-03-01 08:47:54;UNICORN_WHITE_15W;1;OK;OK;OK;OK;ESQ=OK | DIR=OK | th_pres=0.60;0.9931;0.9314;0.6000000000000001;1;True;button;4;1;3;25.0;2.165;2026-03-01 08:47:52;2026-03-01 08:47:54
2026-03-01 08:50:18;UNICORN_WHITE_15W;1;NG_MISALIGNED;OK;NG_MISALIGNED;NG_MISALIGNED;ESQ=OK | DIR=NG_MISALIGNED | th_pres=0.60;0.9941;0.9095;0.6000000000000001;1;True;button;5;1;4;20.0;1.870;2026-03-01 08:50:16;2026-03-01 08:50:18
2026-03-01 08:50:32;UNICORN_WHITE_15W;1;NG_MISALIGNED;OK;NG_MISALIGNED;NG_MISALIGNED;ESQ=OK | DIR=NG_MISALIGNED | th_pres=0.60;0.9926;0.9113;0.6000000000000001;1;True;button;6;1;5;16.67;1.833;2026-03-01 08:50:30;2026-03-01 08:50:32
2026-03-01 08:51:02;UNICORN_WHITE_15W;1;NG_MISSING;OK;NG_MISSING;NG_MISSING;ESQ=OK | DIR=NG_MISSING | th_pres=0.60;0.9964;0.2749;0.6000000000000001;1;True;button;7;1;6;14.29;1.744;2026-03-01 08:51:00;2026-03-01 08:51:02
2026-03-01 08:51:16;UNICORN_WHITE_15W;1;NG_MISSING;NG_MISSING;NG_MISSING;NG_MISSING;ESQ=NG_MISSING | DIR=NG_MISSING | th_pres=0.60;0.049;0.1396;0.6000000000000001;1;True;button;8;1;7;12.5;0.986;2026-03-01 08:51:15;2026-03-01 08:51:16
2026-03-01 08:51:25;UNICORN_WHITE_15W;1;OK;OK;OK;OK;ESQ=OK | DIR=OK | th_pres=0.60;0.9931;0.9732;0.6000000000000001;1;True;button;9;2;7;22.22;1.831;2026-03-01 08:51:23;2026-03-01 08:51:25
2026-03-01 08:51:36;UNICORN_WHITE_15W;1;NG_MISSING;NG_MISSING;OK;NG_MISSING;ESQ=NG_MISSING | DIR=OK | th_pres=0.60;0.0193;0.9537;0.6000000000000001;1;True;button;10;2;8;20.0;1.725;2026-03-01 08:51:34;2026-03-01 08:51:36
2026-03-01 08:51:47;UNICORN_WHITE_15W;1;NG_MISSING;NG_MISSING;NG_MISALIGNED;NG_MISSING;ESQ=NG_MISSING | DIR=NG_MISALIGNED | th_pres=0.60;0.0267;0.9946;0.6000000000000001;1;True;button;11;2;9;18.18;2.198;2026-03-01 08:51:45;2026-03-01 08:51:47
2026-03-01 08:51:57;UNICORN_WHITE_15W;1;OK;OK;OK;OK;ESQ=OK | DIR=OK | th_pres=0.60;0.982;0.9768;0.6000000000000001;1;True;button;12;3;9;25.0;1.851;2026-03-01 08:51:55;2026-03-01 08:51:57
2026-03-01 08:52:04;UNICORN_WHITE_15W;1;NG_MISALIGNED;OK;NG_MISALIGNED;NG_MISALIGNED;ESQ=OK | DIR=NG_MISALIGNED | th_pres=0.60;0.9806;0.9854;0.6000000000000001;1;True;button;13;3;10;23.08;1.821;2026-03-01 08:52:02;2026-03-01 08:52:04
2026-03-01 08:52:10;UNICORN_WHITE_15W;1;OK;OK;OK;OK;ESQ=OK | DIR=OK | th_pres=0.60;0.9778;0.9848;0.6000000000000001;1;True;button;14;4;10;28.57;1.836;2026-03-01 08:52:08;2026-03-01 08:52:10
2026-03-01 08:52:16;UNICORN_WHITE_15W;1;OK;OK;OK;OK;ESQ=OK | DIR=OK | th_pres=0.60;0.9798;0.9818;0.6000000000000001;1;True;button;15;5;10;33.33;2.720;2026-03-01 08:52:14;2026-03-01 08:52:16
2026-03-01 08:52:21;UNICORN_WHITE_15W;1;OK;OK;OK;OK;ESQ=OK | DIR=OK | th_pres=0.60;0.9789;0.9827;0.6000000000000001;1;True;button;16;6;10;37.5;1.836;2026-03-01 08:52:19;2026-03-01 08:52:21
2026-03-01 08:52:29;UNICORN_WHITE_15W;1;NG_MISALIGNED;OK;NG_MISALIGNED;NG_MISALIGNED;ESQ=OK | DIR=NG_MISALIGNED | th_pres=0.60;0.9824;0.9856;0.6000000000000001;1;True;button;17;6;11;35.29;1.850;2026-03-01 08:52:28;2026-03-01 08:52:29
2026-03-01 08:52:42;UNICORN_WHITE_15W;1;NG_MISSING;OK;NG_MISSING;NG_MISSING;ESQ=OK | DIR=NG_MISSING | th_pres=0.60;0.9956;0.5951;0.6000000000000001;1;True;button;18;6;12;33.33;1.720;2026-03-01 08:52:40;2026-03-01 08:52:42
2026-03-01 08:52:48;UNICORN_WHITE_15W;1;NG_MISSING;OK;NG_MISSING;NG_MISSING;ESQ=OK | DIR=NG_MISSING | th_pres=0.60;0.9945;0.5073;0.6000000000000001;1;True;button;19;6;13;31.58;1.701;2026-03-01 08:52:46;2026-03-01 08:52:48
2026-03-01 08:52:57;UNICORN_WHITE_15W;1;NG_MISALIGNED;NG_MISALIGNED;OK;NG_MISALIGNED;ESQ=NG_MISALIGNED | DIR=OK | th_pres=0.60;0.9818;0.965;0.6000000000000001;1;True;button;20;6;14;30.0;1.867;2026-03-01 08:52:55;2026-03-01 08:52:57
2026-03-01 08:53:02;UNICORN_WHITE_15W;1;NG_MISALIGNED;NG_MISALIGNED;OK;NG_MISALIGNED;ESQ=NG_MISALIGNED | DIR=OK | th_pres=0.60;0.9883;0.9435;0.6000000000000001;1;True;button;21;6;15;28.57;2.262;2026-03-01 08:53:00;2026-03-01 08:53:02
2026-03-01 08:53:11;UNICORN_WHITE_15W;1;OK;OK;OK;OK;ESQ=OK | DIR=OK | th_pres=0.60;0.9932;0.9259;0.6000000000000001;1;True;button;22;7;15;31.82;1.932;2026-03-01 08:53:09;2026-03-01 08:53:11
2026-03-01 08:53:16;UNICORN_WHITE_15W;1;OK;OK;OK;OK;ESQ=OK | DIR=OK | th_pres=0.60;0.9908;0.9211;0.6000000000000001;1;True;button;23;8;15;34.78;1.882;2026-03-01 08:53:14;2026-03-01 08:53:16
2026-03-01 08:53:22;UNICORN_WHITE_15W;1;OK;OK;OK;OK;ESQ=OK | DIR=OK | th_pres=0.60;0.9899;0.9393;0.6000000000000001;1;True;button;24;9;15;37.5;2.183;2026-03-01 08:53:19;2026-03-01 08:53:22
2026-03-01 08:53:26;UNICORN_WHITE_15W;1;OK;OK;OK;OK;ESQ=OK | DIR=OK | th_pres=0.60;0.99;0.9445;0.6000000000000001;1;True;button;25;10;15;40.0;1.836;2026-03-01 08:53:24;2026-03-01 08:53:26
2026-03-01 08:53:32;UNICORN_WHITE_15W;1;OK;OK;OK;OK;ESQ=OK | DIR=OK | th_pres=0.60;0.9915;0.9142;0.6000000000000001;1;True;button;26;11;15;42.31;1.871;2026-03-01 08:53:30;2026-03-01 08:53:32
2026-03-01 08:53:37;UNICORN_WHITE_15W;1;OK;OK;OK;OK;ESQ=OK | DIR=OK | th_pres=0.60;0.9942;0.9333;0.6000000000000001;1;True;button;27;12;15;44.44;1.850;2026-03-01 08:53:35;2026-03-01 08:53:37
2026-03-01 08:53:41;UNICORN_WHITE_15W;1;OK;OK;OK;OK;ESQ=OK | DIR=OK | th_pres=0.60;0.9857;0.9164;0.6000000000000001;1;True;button;28;13;15;46.43;1.860;2026-03-01 08:53:39;2026-03-01 08:53:41
2026-03-01 08:53:44;UNICORN_WHITE_15W;1;OK;OK;OK;OK;ESQ=OK | DIR=OK | th_pres=0.60;0.9903;0.9349;0.6000000000000001;1;True;button;29;14;15;48.28;1.983;2026-03-01 08:53:42;2026-03-01 08:53:44
2026-03-01 08:53:48;UNICORN_WHITE_15W;1;OK;OK;OK;OK;ESQ=OK | DIR=OK | th_pres=0.60;0.9914;0.915;0.6000000000000001;1;True;button;30;15;15;50.0;1.871;2026-03-01 08:53:46;2026-03-01 08:53:48
2026-03-01 08:53:51;UNICORN_WHITE_15W;1;OK;OK;OK;OK;ESQ=OK | DIR=OK | th_pres=0.60;0.992;0.9286;0.6000000000000001;1;True;button;31;16;15;51.61;1.828;2026-03-01 08:53:49;2026-03-01 08:53:51
2026-03-01 08:53:54;UNICORN_WHITE_15W;1;OK;OK;OK;OK;ESQ=OK | DIR=OK | th_pres=0.60;0.9914;0.9335;0.6000000000000001;1;True;button;32;17;15;53.12;1.858;2026-03-01 08:53:52;2026-03-01 08:53:54
2026-03-01 08:53:58;UNICORN_WHITE_15W;1;OK;OK;OK;OK;ESQ=OK | DIR=OK | th_pres=0.60;0.992;0.9382;0.6000000000000001;1;True;button;33;18;15;54.55;1.876;2026-03-01 08:53:56;2026-03-01 08:53:58
2026-03-01 08:54:08;UNICORN_WHITE_15W;1;OK;OK;OK;OK;ESQ=OK | DIR=OK | th_pres=0.60;0.9927;0.9713;0.6000000000000001;1;True;button;34;19;15;55.88;1.845;2026-03-01 08:54:06;2026-03-01 08:54:08
