timestamp;modelo;turno;resultado_final;cs_code;cs_detail;p_esq;p_dir;th_presente;camera_index;directshow;source;total;ok;ng;yield_pct;test_time_sec;start_time;end_time
2026-02-09 13:09:12;UNICORN_WHITE_15W;1;NG;NG_DIR;p_dir<0.40;0.5958;0.3322;0.4;1;True;camera;1;0;1;0.0;3.033;2026-02-09 13:09:09;2026-02-09 13:09:12
2026-02-09 13:14:09;UNICORN_WHITE_15W;1;NG;NG_DIR;p_dir<0.40;0.584;0.3192;0.4;1;True;camera;1;0;1;0.0;1.652;2026-02-09 13:14:08;2026-02-09 13:14:09
2026-02-09 13:14:22;UNICORN_WHITE_15W;1;OK;OK;OK;0.5505;0.6737;0.4;1;True;camera;2;1;1;50.0;2.858;2026-02-09 13:14:19;2026-02-09 13:14:22
2026-02-09 13:58:05;UNICORN_WHITE_15W;1;NG;NG_DIR;p_dir<0.40;0.5546;0.2678;0.4;1;True;camera;3;1;2;33.33;0.892;2026-02-09 13:58:04;2026-02-09 13:58:05
2026-02-09 14:00:06;UNICORN_WHITE_15W;1;NG;NG_ESQ;p_esq<0.40;0.3777;0.7645;0.4;1;True;camera;4;1;3;25.0;1.512;2026-02-09 14:00:05;2026-02-09 14:00:06
2026-02-09 14:00:21;UNICORN_WHITE_15W;1;NG;NG_AMBAS;p_esq<0.40 | p_dir<0.40;0.2872;0.3012;0.4;1;True;camera;5;1;4;20.0;0.920;2026-02-09 14:00:20;2026-02-09 14:00:21
2026-02-09 14:00:35;UNICORN_WHITE_15W;1;NG;NG_AMBAS;p_esq<0.40 | p_dir<0.40;0.0821;0.2221;0.4;1;True;camera;6;1;5;16.67;0.853;2026-02-09 14:00:34;2026-02-09 14:00:35
2026-02-09 14:00:52;UNICORN_WHITE_15W;1;OK;OK;OK;0.8227;0.5951;0.4;1;True;camera;7;2;5;28.57;0.892;2026-02-09 14:00:51;2026-02-09 14:00:52
2026-02-09 14:01:00;UNICORN_WHITE_15W;1;OK;OK;OK;0.8593;0.9548;0.4;1;True;camera;8;3;5;37.5;0.846;2026-02-09 14:00:59;2026-02-09 14:01:00
2026-02-09 14:01:11;UNICORN_WHITE_15W;1;OK;OK;OK;0.5539;0.9371;0.4;1;True;camera;9;4;5;44.44;0.823;2026-02-09 14:01:10;2026-02-09 14:01:11
2026-02-09 14:01:21;UNICORN_WHITE_15W;1;OK;OK;OK;0.5852;0.5469;0.4;1;True;camera;10;5;5;50.0;0.862;2026-02-09 14:01:20;2026-02-09 14:01:21
2026-02-09 14:01:30;UNICORN_WHITE_15W;1;OK;OK;OK;0.5067;0.418;0.4;1;True;camera;11;6;5;54.55;0.834;2026-02-09 14:01:29;2026-02-09 14:01:30
2026-02-09 14:01:41;UNICORN_WHITE_15W;1;OK;OK;OK;0.5353;0.704;0.4;1;True;camera;12;7;5;58.33;0.843;2026-02-09 14:01:40;2026-02-09 14:01:41
2026-02-09 14:01:50;UNICORN_WHITE_15W;1;OK;OK;OK;0.67;0.6864;0.4;1;True;camera;13;8;5;61.54;0.907;2026-02-09 14:01:50;2026-02-09 14:01:50
2026-02-09 14:01:58;UNICORN_WHITE_15W;1;OK;OK;OK;0.6906;0.6299;0.4;1;True;camera;14;9;5;64.29;0.825;2026-02-09 14:01:57;2026-02-09 14:01:58
2026-02-09 14:02:05;UNICORN_WHITE_15W;1;OK;OK;OK;0.8417;0.5474;0.4;1;True;camera;15;10;5;66.67;0.863;2026-02-09 14:02:04;2026-02-09 14:02:05
