timestamp;modelo;turno;resultado_final;cs_code;cs_detail;p_esq;p_dir;th_presente;camera_index;directshow;source;total;ok;ng;yield_pct;test_time_sec;start_time;end_time
2026-02-22 07:38:18;UNICORN_WHITE_15W;1;OK;OK;OK;0.9477;0.8997;0.71;1;True;sensor;1;1;0;100.0;2.187;2026-02-22 07:38:16;2026-02-22 07:38:18
2026-02-22 09:45:09;UNICORN_WHITE_15W;1;NG;NG_ESQ;p_esq<0.71;0.0974;0.8291;0.71;1;True;sensor;1;0;1;0.0;2.560;2026-02-22 09:45:06;2026-02-22 09:45:09
2026-02-22 09:51:45;UNICORN_WHITE_15W;1;NG;NG_ESQ;p_esq<0.71;0.1513;0.8959;0.71;1;True;button;1;0;1;0.0;1.810;2026-02-22 09:51:43;2026-02-22 09:51:45
2026-02-22 09:52:23;UNICORN_WHITE_15W;1;OK;OK;OK;0.9573;0.8701;0.71;1;True;button;2;1;1;50.0;1.477;2026-02-22 09:52:21;2026-02-22 09:52:23
2026-02-22 09:56:04;UNICORN_WHITE_15W;1;NG;NG_ESQ;p_esq<0.71;0.1311;0.866;0.71;1;True;sensor;1;0;1;0.0;2.852;2026-02-22 09:56:01;2026-02-22 09:56:04
2026-02-22 10:03:02;UNICORN_WHITE_15W;1;NG;NG_AMBAS;p_esq<0.71 | p_dir<0.71;0.1444;0.0408;0.71;1;True;button;1;0;1;0.0;2.072;2026-02-22 10:03:00;2026-02-22 10:03:02
2026-02-22 10:05:20;UNICORN_WHITE_15W;1;NG;NG_AMBAS;p_esq<0.71 | p_dir<0.71;0.1342;0.0409;0.71;1;True;button;1;0;1;0.0;2.987;2026-02-22 10:05:17;2026-02-22 10:05:20
2026-02-22 10:08:55;UNICORN_WHITE_15W;1;NG;NG_AMBAS;p_esq<0.71 | p_dir<0.71;0.1516;0.0266;0.71;1;True;button;1;0;1;0.0;1.686;2026-02-22 10:08:53;2026-02-22 10:08:55
2026-02-22 10:16:35;UNICORN_WHITE_15W;1;NG;NG_AMBAS;p_esq<0.71 | p_dir<0.71;0.1097;0.0213;0.71;1;True;sensor;1;0;1;0.0;1.782;2026-02-22 10:16:34;2026-02-22 10:16:35
2026-02-22 10:26:28;UNICORN_WHITE_15W;1;NG;NG_DIR;p_dir<0.71;0.9225;0.4926;0.71;1;True;button;1;0;1;0.0;1.994;2026-02-22 10:26:26;2026-02-22 10:26:28
2026-02-22 10:26:38;UNICORN_WHITE_15W;1;NG;NG_AMBAS;p_esq<0.71 | p_dir<0.71;0.1062;0.0339;0.71;1;True;button;2;0;2;0.0;0.904;2026-02-22 10:26:37;2026-02-22 10:26:38
2026-02-22 10:28:36;UNICORN_WHITE_15W;1;NG;NG_AMBAS;p_esq<0.71 | p_dir<0.71;0.1449;0.0204;0.71;1;True;button;1;0;1;0.0;2.108;2026-02-22 10:28:34;2026-02-22 10:28:36
2026-02-22 10:29:28;UNICORN_WHITE_15W;1;NG;NG_DIR;p_dir<0.71;0.8518;0.6823;0.71;1;True;button;2;0;2;0.0;1.604;2026-02-22 10:29:26;2026-02-22 10:29:28
2026-02-22 10:30:04;UNICORN_WHITE_15W;1;NG;NG_DIR;p_dir<0.71;0.9068;0.579;0.71;1;True;button;3;0;3;0.0;2.088;2026-02-22 10:30:02;2026-02-22 10:30:04
