timestamp;modelo;turno;resultado_final;cs_code;cs_detail;p_esq;p_dir;th_presente;camera_index;directshow;source;total;ok;ng;yield_pct;test_time_sec;start_time;end_time
2026-02-20 17:00:37;UNICORN_WHITE_15W;1;NG;NG_AMBAS;p_esq<0.71 | p_dir<0.71;0.1089;0.0504;0.71;1;True;button;0;0;0;0.0;2.506;2026-02-20 17:00:35;2026-02-20 17:00:37
2026-02-20 17:00:55;UNICORN_WHITE_15W;1;NG;NG_AMBAS;p_esq<0.71 | p_dir<0.71;0.0765;0.0621;0.71;1;True;button;0;0;0;0.0;1.519;2026-02-20 17:00:54;2026-02-20 17:00:55
2026-02-20 17:22:02;UNICORN_WHITE_15W;1;NG;NG_AMBAS;p_esq<0.71 | p_dir<0.71;0.0956;0.0533;0.71;1;True;button;1;0;1;0.0;3.064;2026-02-20 17:21:59;2026-02-20 17:22:02
2026-02-20 17:41:02;UNICORN_WHITE_15W;1;NG;NG_AMBAS;p_esq<0.71 | p_dir<0.71;0.1213;0.0404;0.71;1;True;button;1;0;1;0.0;1.935;2026-02-20 17:41:00;2026-02-20 17:41:02
2026-02-20 17:56:09;UNICORN_WHITE_15W;1;NG;NG_AMBAS;p_esq<0.71 | p_dir<0.71;0.1253;0.0244;0.71;1;True;button;1;0;1;0.0;1.951;2026-02-20 17:56:07;2026-02-20 17:56:09
2026-02-20 18:01:52;UNICORN_WHITE_15W;1;NG;NG_AMBAS;p_esq<0.71 | p_dir<0.71;0.1595;0.0369;0.71;1;True;button;1;0;1;0.0;1.772;2026-02-20 18:01:51;2026-02-20 18:01:52
2026-02-20 18:01:53;UNICORN_WHITE_15W;1;NG;NG_AMBAS;p_esq<0.71 | p_dir<0.71;0.2041;0.0227;0.71;1;True;sensor;2;0;2;0.0;0.275;2026-02-20 18:01:53;2026-02-20 18:01:53
2026-02-20 18:29:40;UNICORN_WHITE_15W;1;NG;NG_AMBAS;p_esq<0.71 | p_dir<0.71;0.0902;0.0654;0.71;1;True;button;1;0;1;0.0;3.060;2026-02-20 18:29:37;2026-02-20 18:29:40
2026-02-20 20:06:05;UNICORN_WHITE_15W;1;NG;NG_AMBAS;p_esq<0.71 | p_dir<0.71;0.1984;0.0711;0.71;1;True;button;1;0;1;0.0;1.704;2026-02-20 20:06:03;2026-02-20 20:06:05
2026-02-20 20:53:21;UNICORN_WHITE_15W;1;NG;NG_AMBAS;p_esq<0.71 | p_dir<0.71;0.1396;0.0319;0.71;1;True;button;1;0;1;0.0;1.732;2026-02-20 20:53:19;2026-02-20 20:53:21
2026-02-20 20:53:30;UNICORN_WHITE_15W;1;NG;NG_AMBAS;p_esq<0.71 | p_dir<0.71;0.1274;0.0911;0.71;1;True;button;2;0;2;0.0;0.906;2026-02-20 20:53:29;2026-02-20 20:53:30
2026-02-20 20:53:41;UNICORN_WHITE_15W;1;NG;NG_DIR;p_dir<0.71;0.9077;0.4355;0.71;1;True;button;3;0;3;0.0;0.930;2026-02-20 20:53:40;2026-02-20 20:53:41
2026-02-20 20:53:59;UNICORN_WHITE_15W;1;NG;NG_ESQ;p_esq<0.71;0.1394;0.9229;0.71;1;True;button;4;0;4;0.0;0.907;2026-02-20 20:53:58;2026-02-20 20:53:59
2026-02-20 20:54:09;UNICORN_WHITE_15W;1;OK;OK;OK;0.937;0.9223;0.71;1;True;button;5;1;4;20.0;0.926;2026-02-20 20:54:08;2026-02-20 20:54:09
2026-02-20 21:06:05;UNICORN_WHITE_15W;1;NG;NG_ESQ;p_esq<0.71;0.083;0.8489;0.71;1;True;button;1;0;1;0.0;1.718;2026-02-20 21:06:04;2026-02-20 21:06:05
2026-02-20 21:25:32;UNICORN_WHITE_15W;1;NG;NG_AMBAS;p_esq<0.71 | p_dir<0.71;0.0803;0.0633;0.71;1;True;button;1;0;1;0.0;1.697;2026-02-20 21:25:31;2026-02-20 21:25:32
